nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-9.0908548204820786181657870824899067e-02,9.9999999999999999999999999999999990e-01,1.5188494086417500776228573768148409e-02,1.2324160858418515780383308196473325e-01,-1.0402121665200411893465332110523756e-03,1.0353098908731362004297435992341066e-02,9.3128867422113208149509027812886896e-03,1.5321459883272560829147735761985592e-02,-6.0783285751893708021545871883942883e-01
1.3923186014016693841261466714432381e-02,1.0000000000000000000000000000000002e+00,4.4053821405616755520421232586735798e-04,2.0989002216784092645492851488072901e-02,-1.7757497487636984032289886320339120e-04,-4.2470630634616371299541182245426286e-04,-6.0228128122253355331831068565765405e-04,6.0329846895943031003575751964875596e-04,9.9831395604459066015301975516544141e-01
-1.3504014766323835917002229116570111e-02,9.9999999999999999999999999999999990e-01,1.0851077597871094685484243139071354e-03,3.2940973874296877996794348469391508e-02,2.1318796740818722018825179900251524e-04,-1.1182051209396915435376300678840913e-03,-9.0501715353150432334937826888157605e-04,1.3346704144404159225979945499635088e-03,6.7808287629642911061590718109166576e-01
-1.0999166546911572677785978210048981e-01,1.0000000000000000000000000000000000e+00,7.9300224821194040806647664342037161e-01,8.9050673675831358534015465870037603e-01,4.7897899918410638491037138439016580e-04,-7.8697609391202289211457157902436365e-01,-7.8649711491283878572966120763997351e-01,7.9309389982083121863027833413146200e-01,9.9168221454044379816173015392971065e-01
-1.4979976196517602054470291592260243e-02,9.9999999999999999999999999999999990e-01,1.3322455046220627573053110569894126e-04,1.1542293986127986149811221991014610e-02,-1.7281617541175419293264895201353698e-04,-7.4758664841401529813783536081595753e-05,-2.4757484025315572274643248809513271e-04,2.6635034796496617508167064129884124e-04,9.2950822908524959503470030880889518e-01
-7.1679698697727951987291761836859432e-01,9.9999999999999999999999999999999990e-01,7.3561213263633128042649989137754238e-01,8.5767833867734544787331625228876832e-01,1.6748930735812661222306371195604117e-03,-4.0396091134556837352960823388325638e-01,-4.0228601827198710740737759676369599e-01,7.3563278521263101581998371817939258e-01,5.4685710908834538253150730331079955e-01
-7.5347028769283758825958557491197645e-02,1.0000000000000000000000000000000000e+00,1.7986138900732003822372924151037946e-02,1.3411241143433371216377263782497747e-01,7.8850039477193323128568475900904112e-04,-1.4946464016044182141737486542846772e-02,-1.4157963621272248910451801783837730e-02,1.8097671873613165066899322712152987e-02,7.8230855991564836290891737537018902e-01
-7.1599320577928206092564337819234590e-03,1.0000000000000000000000000000000000e+00,7.2940005467626667990667557292072206e-05,8.5404921092186876389525233275197438e-03,7.6297707079299627706978655983263038e-05,9.9323858542280302477838237064216480e-05,1.7562156562157993018481689304747952e-04,1.8651590396038344239403112089287892e-04,-9.4159029815968131314464915788345521e-01
-5.9995897798838929741179947249776603e-03,1.0000000000000000000000000000000000e+00,3.6496240951322935900878062250989074e-04,1.9103989361210117649670744942873180e-02,-7.1153559458789561562022262113400798e-05,-4.1402883387944525263407287308451703e-04,-4.8518239333823481419609513519791781e-04,5.0568694390897708583628978943004040e-04,9.5945208628041411148196452512818034e-01
6.9211419405581691806983332163521533e-03,1.0000000000000000000000000000000000e+00,2.0710954697663795400028773902658959e-04,1.4391301086998282727586148794941303e-02,7.6625991789124929709599933681936390e-05,-2.4159445866685610720741975138519583e-04,-1.6496846687773117749781981770325945e-04,3.2972350907923060787472671657593372e-04,5.0032364188532953899003931030705141e-01
