nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-7050903670921568,-76,7500147066583390,-126,8463178453562862,-98,-6815493389646704,-152,7097264863086606,-138,-6900534975922176,-192,5653604106474608,-95,8368267101498362,-152,5550627806692066,-118,-7709648059556088,-171,-6362290458976395,-118,8229598794161180,-172,-6493301218274635,-121,8463178453552708,-98,6910696520820778,-76
-6207999936400864,-76,-6085306417214208,-127,5063861341299541,-91,6801007657760776,-146,8792496895978583,-133,8461841487364096,-187,8899200609536273,-93,4853583056869411,-146,5981632515636874,-115,5668061743655278,-168,6661608635135400,-112,8401791227532726,-167,7409312699590010,-112,5063861341291936,-91,-6589552056026829,-73
6156492047186155,-74,-5371020260194318,-128,7239215083661454,-90,-6365738329903072,-144,5302382778821062,-129,6059408580673536,-184,6910833395021800,-91,7871581566786023,-146,-5140815715229027,-113,-5898555551311263,-168,-8681915021381243,-110,-6440321486752899,-166,-4662258492892436,-109,7239215083658598,-90,5800890115474713,-72
4721495078214359,-73,-8636009997121412,-128,4981604393723376,-94,-7409717187366784,-149,7583321129922197,-138,6192449487634432,-196,5843991975948326,-95,-6940265899463801,-149,-7067612004771259,-114,5685350938594903,-167,7841231381033608,-120,8335296082299989,-173,-6945092764442608,-114,4981604393714198,-94,6278683475039451,-72
-6908602853216100,-73,6170474116320012,-127,7090489715491547,-93,6878819294812559,-147,5543509792822296,-135,7177611906121728,-190,7066222277466113,-94,-4549401038038937,-148,-8349173911837143,-113,6728861789882794,-166,6302811929626965,-115,-4776730652318839,-170,-6773470929430401,-113,7090489715479583,-93,8604483576695904,-73
4775921582938920,-71,7161478897256957,-125,8031229172719764,-90,-5595183088648816,-144,7161439853210015,-129,-6566283441078272,-183,8031470332928192,-91,-4948259752781635,-149,8873443135658548,-111,5428669641733476,-165,-6518365930416570,-110,-7728167343354731,-164,-8326577450349185,-112,8031229172716229,-90,4669219405425271,-74
-8078339343460454,-72,4738678388095907,-125,8215574756946066,-90,7426990374227442,-144,5978765185639284,-129,5770237022568448,-188,7338387379006477,-91,-8568824418603746,-146,-6042875068990413,-111,-7677571543941094,-164,7410818616406701,-110,8772686799005966,-165,8778762163822989,-111,8215574756943774,-90,-4812326730561573,-73
6260075613266377,-75,4669107056028064,-132,8788320443326773,-90,-7258009446981126,-144,7920824095418554,-129,-6006082266726400,-183,8446563851009977,-91,-4526175903512836,-145,-5146269409063235,-115,5538207966895866,-171,-5888187598837636,-109,-5267669986323510,-163,-5968598058354249,-109,8788320443326081,-90,6117249857893263,-72
4897683079922292,-72,5421772566635134,-125,5706416050566198,-92,6732708469743088,-148,6457062555000926,-134,7749357952565248,-189,5392589778261476,-93,-5066670636741030,-149,7266739919796545,-112,6865352004031310,-170,6267060619462106,-115,6421082795589528,-169,8050122497229308,-112,5706416050557181,-92,-6353292216621468,-72
-5996416120074307,-73,-5181533869730202,-125,6595181380693355,-90,-7838128306270520,-144,4997870471334370,-129,4644337115725824,-186,6709457145305792,-91,5492981971402771,-148,5615630085787198,-112,6483678182135520,-167,7806139430114077,-110,5466464624909858,-163,4605023475780439,-109,6595181380689762,-90,-6289192309488279,-72
