nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-1.577763607056714e-06,1,3.430590508458461e-13,5.857124301616333e-07,4.184370364464999e-11,1.55098997904969e-11,5.735360343514689e-11,7.037009542452318e-10,-0.08150280753372377
-1.329154159771213e-05,0.9999999999999999,1.879791238513356e-10,1.371054790485543e-05,1.022552040294349e-10,-1.151197899781035e-10,-1.286458594866865e-11,2.471652791994718e-10,0.052048515836589
-0.0001189930318740004,1,1.434992728650469e-08,0.0001197911820064594,1.091535092402414e-09,-1.985541765119009e-09,-8.94006672716595e-10,1.443407306855396e-08,0.06193724172453276
6.048204536393668e-06,1,4.971207899371048e-10,2.229620572961025e-05,-1.134724485529457e-10,-6.355506193109759e-10,-7.490230678639216e-10,8.491088354452884e-10,0.882128458210095
1.240497187919796e-05,1,9.446109303450487e-11,9.719109683222269e-06,-1.29451552255752e-10,-6.836378590154902e-11,-1.97815338157301e-10,2.033598585881107e-10,0.9727354234542439
-1.265188508699861e-05,1,1.957742729813141e-11,4.42463866300192e-06,-1.649445015611049e-10,2.402153634604431e-11,-1.409229652150606e-10,1.89544661905138e-10,0.7434815826445631
8.853451330940757e-06,1,9.70858181511168e-11,9.853213595123004e-06,4.538908005429557e-11,-6.608662529880406e-11,-2.069754524450849e-11,1.233689765681041e-10,0.1677694491781952
-1.23602690393283e-05,1,1.884998926770909e-10,1.37295263092756e-05,-2.937667525764392e-10,3.364700051540234e-10,4.270325257758422e-11,7.53371098607521e-10,-0.05668289194596655
6.001179411438279e-06,1,3.937299885616891e-09,6.274790742022311e-05,-1.147386173215865e-10,-4.098757035968026e-09,-4.213495653289613e-09,4.302849226065569e-09,0.9792338592217746
-2.822996005450047e-06,1,4.444963615268256e-10,2.108308235355603e-05,3.018724919592045e-11,4.948350444354833e-10,5.250222936314038e-10,5.58843829604586e-10,-0.939479449925907
-4.294110480027633e-05,1,2.769208498214913e-09,5.26232695507882e-05,-7.522519286440845e-10,-1.847187865802841e-09,-2.599439794446925e-09,3.076096700601603e-09,0.8450448888484369
2.009590810921911e-05,1,4.666338565025296e-10,2.160170957360851e-05,-1.26387716221166e-10,2.185327665849882e-10,9.214505036382222e-11,5.061882254888168e-10,-0.1820371271473954
-7.367415490286319e-06,1,1.03135171001608e-10,1.015554877894878e-05,9.952950695650202e-11,1.544714643478384e-10,2.540009713043405e-10,2.856395879949301e-10,-0.8892358831887435
4.062083871628567e-06,1,7.549842728545387e-11,8.6889830984675e-06,-2.865551671743857e-11,-9.061667756663984e-11,-1.192721942840784e-10,1.252628208140584e-10,0.952175541864313
-6.503566532594348e-05,1,4.92798162786209e-09,7.019958424280083e-05,1.285053530819668e-09,2.3163419980073e-09,3.601395528826968e-09,5.318408108294654e-09,-0.6771566708485924
-0.0450433696191112,1,0.002557448228537146,0.05057121936968839,8.40487983470667e-07,0.001162635996872511,0.001163476484855981,0.002557448577607835,-0.4549364139881414
-1.338795243351141e-05,1,9.31188942157557e-11,9.649813169992241e-06,-1.27546199962547e-10,2.079569832519938e-11,-1.067505016373476e-10,1.838814521091259e-10,0.5805398011214079
-1.216116758194945e-05,1,1.084262184897477e-11,3.29281366751518e-06,-1.601971532163054e-10,-1.988609258630652e-11,-1.800832458026119e-10,1.843664188353398e-10,0.9767681497542497
-0.0001099527144286947,1,1.250326736491442e-08,0.0001118180100203649,-1.834647864012233e-09,2.941650126877803e-09,1.10700226286557e-09,1.278168294459826e-08,-0.0866084902640623
-1.113531374084229e-07,1,2.970507697835581e-12,1.723516085749008e-06,1.060712093725624e-12,-1.668309273554669e-11,-1.562238064182106e-11,9.370870046857018e-11,0.1667121682800499
1.574653655933168e-05,1,9.748726942464926e-11,9.873564170280622e-06,-2.515702908145226e-10,1.010648802210962e-10,-1.505054105934264e-10,3.527271966363596e-10,0.4266906890896432
-1.368865253290937e-05,1,4.102033378994577e-12,2.025347718046108e-06,-1.93255404514533e-10,8.111183369115926e-12,-1.851442211454171e-10,2.034179113094949e-10,0.910166759424273
-1.162225567495763e-05,1,9.145411760745342e-11,9.563164623044686e-06,9.770630609394636e-11,-4.9739535268938e-11,4.796677082500837e-11,1.621288770456749e-10,-0.295855813591401
1.451593155347572e-05,1,6.003044157887116e-10,2.450111050113263e-05,-2.397687971638409e-10,6.30599885623205e-10,3.908310884593641e-10,8.731365410997008e-10,-0.4476173771940857
2.130573443643567e-06,1,6.839628052707974e-12,2.615268256356883e-06,-1.53754977244074e-11,-1.928565025828289e-11,-3.46611479826903e-11,5.891895317441402e-11,0.5882851971263832
-2.886758962769306e-05,1,8.294584337134272e-10,2.880032002796891e-05,2.637421815628272e-10,-2.569404832247226e-10,6.801698338104521e-12,9.129299193052558e-10,-0.007450405769679064
-9.00900977325179e-06,1,3.766448323752784e-11,6.13713966254051e-06,6.626761480319728e-11,1.998919862863892e-11,8.62568134318362e-11,9.177087368687645e-11,-0.9399149203498454
2.485519115109775e-05,1,9.101157009115505e-09,9.539998432450345e-05,-3.54096290086953e-10,8.891327461332358e-09,8.537231171245406e-09,9.304116115639665e-09,-0.9175757337007896
-4.565353427681664e-06,1,1.045718166761293e-11,3.233756587563902e-06,-5.365060949834512e-11,-3.65452986534424e-11,-9.019590815178752e-11,1.485593546302168e-10,0.6071371834934033
