nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
6903554911428387,-53,4503599627370496,-52,4826927892439704,-56,4662461866625367,-54,-6206310462801179,-54,4964444407186704,-56,-4965199361004503,-54,5929454567162219,-53,7542437416041117,-54
-4776143947580589,-53,4503599627370497,-52,4865815789335205,-54,4681205632708683,-53,6529591094441237,-55,-6498821266081397,-54,-6468051437721557,-55,6872528931906746,-53,8477087352662240,-55
7984375533337098,-53,4503599627370496,-52,7476103761660827,-54,5802532043444384,-53,8096238853560957,-55,-6036153541691702,-55,8240341247477020,-57,7686893316592754,-53,-4827853886229414,-56
6286691214692598,-53,9007199254740991,-53,6263115048563898,-54,5310985087428783,-53,5280933464529241,-55,-7015691797118372,-54,-8750450129707503,-55,8317226576995559,-53,4738180880207595,-54
5114595849618265,-53,9007199254740990,-53,5376485395754268,-55,6958956477070658,-54,8559869643773821,-55,7982315527807478,-55,8271092585790650,-54,5867021902972306,-53,-6348994447837750,-53
-6071811386513467,-54,4503599627370496,-52,4897304500929360,-53,6641611058396196,-53,8299953139067734,-58,6194150044911780,-53,6453523580507647,-53,8857672549734378,-53,-6562465755921970,-53
8534543255524676,-54,4503599627370496,-52,5965060391026848,-57,7329971862738767,-55,8180826115159298,-55,-7910083870638353,-56,8451568359680243,-56,4644002494573549,-53,-8196050747136265,-55
-7938082580139609,-54,9007199254740990,-53,6179180927647728,-55,7460369551598524,-54,6290465211851189,-55,5340543941093026,-54,8485776547018620,-54,6364692959448052,-53,-6004459341337418,-53
-6198993147768207,-53,9007199254740990,-53,6980784371894272,-62,5607018628113949,-57,-6177887766351081,-54,-5392622384724495,-59,-6346407215873721,-54,4787033169442040,-53,5970645316393682,-53
8966660010660242,-55,9007199254740990,-53,4740929828311656,-56,4620741261764615,-54,8326399140314780,-56,-6677417572336085,-55,-5028436004357390,-56,5260337042839673,-53,8610118450986314,-56
-8147470630227931,-53,4503599627370496,-52,7135789165193390,-54,5668927361093929,-53,-4553276455597665,-56,4723892068431388,-54,7171145909063944,-55,8933410443220434,-53,-7230378644113290,-55
-7831130631634227,-53,4503599627370496,-52,4506129208838104,-54,4504864240552271,-53,-5109035050987372,-54,8374766511017920,-56,-6030686846465784,-55,7295019125999572,-53,7446121405695421,-55
-8195269767153468,-53,9007199254740991,-53,6531849100233344,-54,5423728714994067,-53,8864953570619360,-59,8989929819377208,-55,4771994708770459,-54,9003159608158088,-53,-4774135865093119,-54
8998492298072273,-53,4503599627370497,-52,8301222376107060,-54,6114358674444555,-53,-5503845279811767,-58,-6928608218786091,-58,-6216226749298929,-57,9001088595969606,-53,6220446821138633,-57
-8009751510358274,-55,4503599627370497,-52,7510435234452688,-58,5815839863963877,-55,-7799422968608356,-56,7834666533896690,-56,4511176356906752,-63,4531620079503494,-53,-8966564629660577,-63
-7602626634396216,-54,4503599627370497,-52,8207899586618223,-54,6079892558243795,-53,5736866233842942,-56,5250969218701035,-53,5968077497931403,-53,8322841295381140,-53,-6458811514456795,-53
4941376282289150,-53,9007199254740991,-53,5325349306352076,-54,4897268744076124,-53,-5954643330162798,-55,-7125604199527730,-54,-5051462932304564,-53,7478074820081840,-53,6084391271001949,-53
7564300131523786,-53,4503599627370497,-52,8925443336408416,-56,6340080700114583,-54,6198250961688634,-54,5492005282583009,-57,6884751622011510,-54,6458149190955546,-53,-4801091446269576,-53
-7939288905492385,-54,4503599627370496,-52,7437703773852577,-54,5787610901262679,-53,6917851826014868,-56,4873272751717151,-53,5738004229969010,-53,8135551554832411,-53,-6352777322537929,-53
6712517993334246,-53,4503599627370497,-52,5817217730097968,-57,7238566101321760,-55,-6424209396085638,-54,-8341717453874235,-65,-6428282500311163,-54,5002442966717431,-53,5787254520570915,-53
-8531838206702831,-53,4503599627370496,-52,5274539537733856,-54,4873850048646259,-53,-8495099197748829,-55,-5442998698892251,-59,-8835286616429595,-55,8084307257042525,-53,4921954627442056,-54
7947351104270484,-53,4503599627370496,-52,4758748935530612,-53,6546984028208013,-53,5267483466423359,-56,5949568904299432,-54,7266439770905272,-54,8871806204648240,-53,-7377333248648585,-54
5166124957898127,-54,9007199254740990,-53,4646433880746752,-57,6469262383600269,-55,-4910883581255633,-55,4685693163499128,-55,-7206093368208160,-60,5466048474376943,-53,5937261544603942,-59
6084784010935642,-53,4503599627370497,-52,5700758582757952,-57,7165742701079612,-55,-5836763509434879,-54,-8476257301213596,-57,-6896295672086578,-54,4898246488163553,-53,6340667970486348,-53
8650105091995234,-53,4503599627370496,-52,4853420438766877,-53,6611786820444660,-53,-7642297662532733,-56,-5887206433794207,-55,-4854177632530287,-54,8753492477860871,-53,4994868649820541,-54
-6627142246079984,-53,4503599627370496,-52,5603418273449480,-56,5023500019738042,-54,-6083803971396373,-54,8198703441071312,-57,-5058966041262459,-54,5250865833978217,-53,8678019320500551,-54
-7538552361089962,-53,4503599627370496,-52,5146215645736752,-55,6808302999207402,-54,-6120784844575657,-54,-4968506431732722,-57,-6741848148542247,-54,6384324194458708,-53,4755802475682018,-53
-6449099828153197,-54,4503599627370496,-52,6672634426374736,-56,5481867739758120,-54,5743159022967247,-55,7792722161978712,-55,6767940592472980,-54,5704794587340378,-53,-5342890837466075,-53
8593397127076265,-56,4503599627370496,-52,8795611791405036,-55,8900776818488065,-54,-5406356438068033,-57,8046857865325978,-54,7371063310567474,-54,7489947168257264,-53,-8864232879901613,-54
